,0
ambalaj/KRPLS (TRY),26.845097529346376
toptan-ve-perakende-ticaret/AZTEK (TRY),26.748673121125087
metal-esya-ve-makine/ERCB (TRY),26.744065783702933
kimya-ve-plastik/KOPOL (TRY),26.655385531684793
kimya-ve-plastik/SASA (TRY),26.651702137546103
enerji-teknolojileri/SMRTG (TRY),26.569031878770026
haberlesme/TCELL (TRY),26.460442734737025
ambalaj/BAKAB (TRY),26.112985426705258
ilac-ve-saglik/TNZTP (TRY),25.992211073750468
gida-ve-icecek/CCOLA (TRY),25.973341451193047
tas-toprak-cimento/KONYA (TRY),25.865157793747937
ana-metal/MEGMT (TRY),25.835294908259286
imalat/HATSN (TRY),25.740476338164598
holding/GSDHO (TRY),25.711304133152005
ulastirma/RYSAS (TRY),25.65646501838259
tas-toprak-cimento/AKCNS (TRY),25.49436048954506
gayrimenkul/MHRGY (TRY),25.430684043080124
enerji-uretim-ve-dagitim/ZOREN (TRY),25.26635756094066
imalat/ARCLK (TRY),25.24285077020412
gida-ve-icecek/AEFES (TRY),25.125757834960474
kagit-ve-kagit-urunleri/DURDO (TRY),25.120779604932586
gida-ve-icecek/KENT (TRY),24.85997295517359
gida-ve-icecek/OFSYM (TRY),24.851845759030716
otomotiv-yan-sanayi/EGEEN (TRY),24.814927515506504
ulastirma/BINBN (TRY),24.55917811655955
gayrimenkul/EYGYO (TRY),24.360639006405208
araci-kurum/OYYAT (TRY),24.226126314999036
enerji-teknolojileri/EUPWR (TRY),24.146678797293692
enerji-uretim-ve-dagitim/PRKME (TRY),23.831955608653065
gayrimenkul/KZBGY (TRY),23.578990711745924
ulastirma/CLEBI (TRY),23.2286929904193
kimya-ve-plastik/DNISI (TRY),23.16415238714552
enerji-teknolojileri/KONTR (TRY),22.63144416692785
gida-ve-icecek/GUNDG (TRY),22.490664341664544
otomotiv-yan-sanayi/GOODY (TRY),22.404375392131374
gayrimenkul/AKMGY (TRY),22.17329664051086
girisim-sermayesi-yatirim-ortakligi/ICUGS (TRY),22.159233044538496
kagit-ve-kagit-urunleri/LILAK (TRY),22.158045450736655
toptan-ve-perakende-ticaret/MOBTL (TRY),22.056740301828054
kimya-ve-plastik/EFORC (TRY),21.922042058720614
enerji-uretim-ve-dagitim/IZENR (TRY),21.81007240689222
gida-ve-icecek/ULKER (TRY),21.796840402160836
imalat/OZATD (TRY),21.768454051020317
holding/GLRYH (TRY),21.68559557730493
enerji-teknolojileri/CWENE (TRY),21.445422418497298
ana-metal/OZYSR (TRY),21.017684925645483
ilac-ve-saglik/TRILC (TRY),20.959692550426404
gayrimenkul/PSGYO (TRY),20.92716953999275
holding/ECZYT (TRY),20.86969994392979
haberlesme/TTKOM (TRY),20.78413074041577
otomotiv-yan-sanayi/DOKTA (TRY),20.775528516759717
gida-ve-icecek/SOKE (TRY),20.601350606161592
gida-ve-icecek/ALKLC (TRY),20.432315907686633
tas-toprak-cimento/GOLTS (TRY),20.307605473784367
kimya-ve-plastik/TUPRS (TRY),20.106580734727082
gida-ve-icecek/DURKN (TRY),19.935188883761402
gida-ve-icecek/GOKNR (TRY),19.887245247950705
gida-ve-icecek/DMRGD (TRY),19.648171495690097
tarim-hayvancilik-balikcilik/CEMZY (TRY),19.639263319276203
ilac-ve-saglik/SELEC (TRY),19.63455024724776
otomotiv/TMSN (TRY),19.112979135756238
gayrimenkul/KUYAS (TRY),18.758842610284
kimya-ve-plastik/EGGUB (TRY),18.634113410624202
gayrimenkul/ALGYO (TRY),18.443043292057208
gida-ve-icecek/ORCAY (TRY),18.32413625565424
kimya-ve-plastik/AKSA (TRY),18.302327782334878
kimya-ve-plastik/EGPRO (TRY),18.14155742562547
cam-seramik-porselen/USAK (TRY),17.709136656768397
enerji-teknolojileri/SAYAS (TRY),17.69168329449179
enerji-uretim-ve-dagitim/AYEN (TRY),17.396445033425533
bilisim-ve-yazilim/HTTBT (TRY),17.059791193956805
ana-metal/BMSTL (TRY),16.911230706644545
gayrimenkul/KRGYO (TRY),16.701870766729556
araci-kurum/OSMEN (TRY),16.628100987512525
enerji-uretim-ve-dagitim/BIOEN (TRY),16.483288115103345
otomotiv/TTRAK (TRY),16.44474285033273
gida-ve-icecek/KUVVA (TRY),16.06078772576023
gayrimenkul/SURGY (TRY),15.95359705446817
gida-ve-icecek/KAYSE (TRY),15.889168099498825
turizm/KSTUR (TRY),15.355382759450936
toptan-ve-perakende-ticaret/ETILR (TRY),14.867127133498979
insaat/BRKSN (TRY),14.810935674790318
tekstil-giyim-ve-deri/RUBNS (TRY),14.793935603211619
faktoring/DSTKF (TRY),14.553299898088046
kimya-ve-plastik/POLHO (TRY),13.810784187604092
toptan-ve-perakende-ticaret/SANKO (TRY),13.747167609917836
tekstil-giyim-ve-deri/BOSSA (TRY),13.428395755206083
gida-ve-icecek/BYDNR (TRY),13.368354371055169
madencilik-ve-tas-ocakciligi/CVKMD (TRY),13.085423823070787
cam-seramik-porselen/CGCAM (TRY),12.832444747882484
gayrimenkul/AKSGY (TRY),12.723411437079767
enerji-uretim-ve-dagitim/CONSE (TRY),12.409332184378876
ilac-ve-saglik/MPARK (TRY),12.301708042816312
kimya-ve-plastik/ISKPL (TRY),12.255467491441234
tarim-hayvancilik-balikcilik/YAPRK (TRY),11.995271454843776
gayrimenkul/MSGYO (TRY),11.860896480310188
kimya-ve-plastik/TARKM (TRY),11.735380950353786
gayrimenkul/HLGYO (TRY),11.075519807879786
tarim-hayvancilik-balikcilik/OZSUB (TRY),10.591463762672738
toptan-ve-perakende-ticaret/BIMAS (TRY),10.431792173363311
tas-toprak-cimento/CMENT (TRY),10.181368592219314
otomotiv-yan-sanayi/DITAS (TRY),9.772956305143332
turizm/ULAS (TRY),9.264864684596871
ilac-ve-saglik/EGEPO (TRY),9.204719946927677
destek-ve-hizmet/HRKET (TRY),8.891076213434815
gayrimenkul/RYGYO (TRY),8.856101316158487
tekstil-giyim-ve-deri/SKTAS (TRY),8.643503447028607
tekstil-giyim-ve-deri/LUKSK (TRY),8.253406703002739
enerji-uretim-ve-dagitim/NTGAZ (TRY),8.110517552576841
kimya-ve-plastik/RNPOL (TRY),7.70188471893729
kimya-ve-plastik/TRCAS (TRY),7.535584775769511
menkul-kiymet-yatirim-ortakligi/MTRYO (TRY),7.03101044830893
kimya-ve-plastik/ACSEL (TRY),6.791819703916808
gayrimenkul/MRGYO (TRY),5.684891274659172
kimya-ve-plastik/MERCN (TRY),5.553175726067483
kimya-ve-plastik/TMPOL (TRY),5.441294790419786
finansal-kiralama/QNBFK (TRY),4.4418775133322494
holding/KCHOL (TRY),4.403727525210847
enerji-uretim-ve-dagitim/MANAS (TRY),4.192657929681758
tekstil-giyim-ve-deri/KRTEK (TRY),3.9473051021155356
insaat/PNLSN (TRY),3.629236168901979
tasarruf-finansman/KTLEV (TRY),3.5299484500631824
tekstil-giyim-ve-deri/DERHL (TRY),3.3786837719270935
mobilya-ve-dekorasyon/KLSYN (TRY),3.1123402822971435
ulastirma/THYAO (TRY),2.2058434219961747
gayrimenkul/SNGYO (TRY),2.0044280804830823
cam-seramik-porselen/SERNT (TRY),1.8676640569083816
enerji-uretim-ve-dagitim/KARYE (TRY),1.5457714784974215
faktoring/GARFA (TRY),1.478179617093693
faktoring/ULUFA (TRY),1.2066260966758806
varlik-yonetimi/SMRVA (TRY),1.0912702563435246
varlik-yonetimi/GLCVY (TRY),1.0902345270316012
gayrimenkul/ATAGY (TRY),1.0073789579008823
finansal-kiralama/ISFIN (TRY),0.9432041649464243
finansal-kiralama/SEKFK (TRY),0.9183755588236319
araci-kurum/ISMEN (TRY),0.8555160000148962
faktoring/CRDFA (TRY),0.834670627178943
finansal-kiralama/VAKFN (TRY),0.7179313478748662
