,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
BURCE (TRY),0.49567725441015625,-0.1472489929304868,-0.050941106685886264,-0.021609359440872142,0.05126837003375102,0.07205640845645986,0.03281121068544306,0.018120290199824578,-1.1089796023064846,564386859.0,0.5710766619183286,-0.6333123694207028
BRSAN (TRY),0.13100669749556065,-0.32966064455493993,-0.0402302754239344,0.0,0.19675158061372586,-0.031412939061293575,-0.004087587712308588,0.40726233638962955,4.324003141934231,6212730000.0,-1.598673721340388,-6.912670194003527
CUSAN (TRY),0.6121803214394275,-0.11508155338318582,-0.12225939267665778,0.0,0.07762677843429883,-0.06390459332687493,-0.025388327759655875,1.8629848238028361,5.729968724873189,164440620.0,-1.579904098245614,-9.052801071246348
KBORU (TRY),0.40051712560081704,-0.06976812239921888,-0.20476541031001683,-0.006484355801511948,0.06612088841069151,0.4093658674490104,0.11968811778906255,0.2923361230138384,-2.0375703171737753,652779681.0,6.48423565,-13.21208609
BVSAN (TRY),0.4214345633825571,-0.17207398936771234,-0.03980359682900653,0.0,0.054006236630532875,0.32880454863598063,0.11426736605312271,0.1450052495331709,-0.27231583870203974,519055016.0,10.106134840425533,-2.752060585106383
ALCAR (TRY),0.24073416095772687,-0.2088125447640925,-0.5168475136587222,-0.08224896404475286,0.09691322683580661,0.2627872207015441,0.07618249397716556,0.6323594768486485,1.8708208784088378,1367654085.0,38.233953425925925,71.52887833333334
SILVR (TRY),0.1975268138597504,-0.23336347169324717,-0.0037800875723824445,-0.17628006339681526,0.28668635895497796,0.1199626120871526,0.020980694719392293,0.06726134458745839,-1.7767469239252986,-108961612.0,1.0376391555555555,-1.8436221777777777
DOFER (TRY),0.05886765660237295,-0.4223131525171871,0.0,0.0,0.12779826817383555,-0.38102062439647943,-0.054865559997327035,0.03213025339977815,-0.6931361490698164,265915618.0,-1.4264235695067264,0.9887057399103139
POLTK (TRY),0.6177529957566621,-0.13787555497785076,-0.2001925157205871,-0.050047990053119655,0.08526417940294372,-0.06046042872276523,-0.061865247454750846,0.15287959436570636,-0.6723545132411278,183368681.0,-6.065908266666667,4.0784408
CEMAS (TRY),0.00017570201889382213,-515.1793006002807,-222.61693977828338,0.0,682.8866425424795,-1482.8354583192138,-0.11273761762054005,0.09568219295620134,1.3174277856664878,-2081407404.0,-0.619589017699115,-0.8162637876106195
HATSN (TRY),0.30348461285575123,-0.0355268964210623,-0.11685235844642324,0.0,0.2008618271749522,0.5526624879242232,0.09349661953233193,0.15706973578764769,-1.8811984250250455,2170201460.0,2.8711630744920993,-5.401227453724605
KRDMB (TRY),0.10806695721559173,-0.13790563494212793,-0.043298696253242154,0.0,0.3669783869641313,-0.4964805280683517,-0.03700020355834043,0.09060390433468857,0.8571739422746394,39422600898.0,-2.6591216807017544,-2.2793298140350875
